CTISMILES	_internalID_
CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)Cc2ccccc2)c3cccc(c3)[N+](=O)[O-])C(=O)OC	CHEMBL1484
CCS(=O)(=O)c1ccc(cc1)Oc2cc3c(cc2CN4C(=O)CCC4=O)nc([nH]3)c5ccccn5	CHEMBL595122
Cc1c(c(no1)C(=O)N)C(=O)Nc2nccs2	CHEMBL1213071
CN(C)C(=O)[C@@H]([C@H](Cc1ccccc1)NC(=O)c2cc3cc(ccc3[nH]2)Br)O	CHEMBL329493
Cc1c(cn(n1)C)NC(=O)Cc2ccc(cc2OC)Oc3ccnc4c3ccc(c4)OC	CHEMBL2023489
c1ccc(c(c1)COc2cc(ccc2C(=O)Nc3cccc(c3)O)OCCCN4CCCC4)F	CHEMBL1824368
COc1ccc(cc1OC)S(=O)(=O)Nc2ccc(cc2)/C=C/C(=O)Nc3ccccc3N	CHEMBL149444
c1cc(ccc1C(=O)C2CCN(CC2)C(=O)c3ccc(cc3Cl)Cl)F	CHEMBL1163569
c1ccc(cc1)C(=O)c2ccc(cc2)NC(=O)CCc3ccncc3	CHEMBL327151
C[C@H](Cc1ccccc1)Oc2cc(cc(c2)OC(C)C)C(=O)Nc3ccc(cn3)C(=O)O	CHEMBL439344
c1cc(ccc1/C=C/c2ccnc(n2)N)Cl	CHEMBL1373037
c1ccc(cc1)Nc2cc(n[nH]2)Nc3ccccc3	CHEMBL1415894
CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3ccccc3[nH]2	CHEMBL319165
Cc1ncc(n1C(C)C)c2c(cnc(n2)Nc3ccc(cc3)C(=O)N)F	CHEMBL509881
CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C	CHEMBL103
CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C\2/c3cc(ccc3NC2=O)F)C	CHEMBL535
CCN(CC)C(=O)Cc1csc(n1)NS(=O)(=O)c2cccc(c2C)Cl	CHEMBL341324
c1ccc(cc1)C[C@@H](C(=O)O)N2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl	CHEMBL2158835
CN(c1cccc2c1cn[nH]2)c3ccnc(n3)Nc4cccc(c4)S(=O)(=O)C	CHEMBL1271394
c1ccc(cc1)c2ccc(cc2)C#CC3(CN4CCC3CC4)O	CHEMBL317462
c1ccc(cc1)c2c3c(n[nH]c3nnc2c4ccccc4)N	CHEMBL260135
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)N4CCN(CC4)S(=O)(=O)C	CHEMBL477567
c1ccc(cc1)COc2ccc(cc2)C(=O)NCc3ccncc3	CHEMBL1703805
CN([C@@H]1CCN(C[C@@H]1F)Cc2nc3ccccc3s2)C(=O)Cc4ccc(cc4)S(=O)(=O)C	CHEMBL2010852
c1ccc(cc1)c2cc(c3cccc(c3n2)O)O	CHEMBL277499
CC(C)Oc1cc(cc2c1c(ncn2)Nc3c(ccc(n3)OC)Cl)OCCN4CCN(CC4)C(=O)C	CHEMBL198701
CN1CCC(CC1)Oc2cc(cc3c2c(ncn3)Nc4ccc(c(c4)Cl)F)OC	CHEMBL203295
CC(C)OC(=O)N1CCC(CC1)Oc2c3cnn(c3ncn2)c4ccc(cc4F)S(=O)(=O)C	CHEMBL1775179
c1cc2c(cn[nH]2)c(c1)Nc3ccnc(n3)Nc4cc(cc(c4)N5CCOCC5)N6CCOCC6	CHEMBL1271187
