// this file was created using the eMolecule database on 7/27/2014
//type	idx	codeName
lin74	445	*-*=*-*-*-*:*:*
lin74	446	*-*-*-*:*-*-*:*
lin74	447	*:*:*-*-*
lin74	448	*=*-*-*-*:*:*-*
lin74	449	*:*:*:*-*-*
lin74	450	*-*-*-*-*=*-*:*
lin74	451	N-c:n:n
lin74	452	C-S-c:c
lin74	453	O=C-C-c
lin74	454	C-C-n:n
lin74	455	c-C-n
lin74	456	Br
lin74	457	c-C-n:c
lin74	458	Br-c
lin74	459	*-*:*-*:*:*:*-*
lin74	460	Br-c:c
lin74	461	S-N-c
lin74	462	O=S-N-c
lin74	463	C=C-c
lin74	464	*:*:*:*:*-*-*
lin74	465	*=*-*-*:*-*
lin74	466	C-N-c:s
lin74	467	Br-c:c:c
lin74	468	C=C-c:c
lin74	469	N-C-c:s
lin74	470	S-N-c:c
lin74	471	c:c-C-n
lin74	472	*:*-*-*-*-*-*-
lin74	473	N-c:c-O
lin74	474	N-c:c:n
lin74	475	O=C-C-n
lin74	476	*=*-*-*=*-*
lin74	477	*-*=*-*-*-*-*
lin74	478	*-*-*=*-*-*-*
lin74	479	S-c:n:n
lin74	480	O-C-C=O
lin74	481	C-c:c-c
lin74	482	*:*:*:*:*:*-*-*
lin74	483	N-C-c:o
lin74	484	*-*=*-*-*:*:*:*
lin74	485	*-*=*-*-*:*:*
lin74	486	*-*=*-*-*:*
lin74	487	*-*-*-*:*-
lin74	488	C-F
lin74	489	C-C=C-c
lin74	490	F-C-F
lin74	491	c-n:n
lin74	492	C-c:c-Cl
lin74	493	*=*-*:*-*
lin74	494	*-*=*-*=*
lin74	495	*-*-*-*-*-*=
lin74	496	*-*-*-*:*:*:*=*
lin74	497	*-*-*-*:*-*-
lin74	498	c-C-c
lin74	499	*-*-*-*=*-*-*-*
lin74	500	c-C-c:c
lin74	501	*=*-*=*-*
lin74	502	*-*-*-*-*=*-*-*
lin74	503	*-*-*-*-*:*:*=*
lin74	504	*-*:*-*:*:*-*
lin74	505	*-*-*-*-*-*:*=*
lin74	506	c:c-n:n
lin74	507	c-N-S-c
lin74	508	c-c:o:c
lin74	509	*-*=*-*-*-*-*-*
lin74	510	C-C-N-C-C-O-
lin74	511	C-C-C-C-C-C-
lin74	512	*-*-*=*-*=*
lin74	513	*-*:*:*:*-*:*-*
lin74	514	*-*=*-*-*=*
lin74	515	*=*-*=*-*:*
lin74	516	*=*-*=*-*:*:*:*
lin74	517	*=*-*=*-*:*:*
lin74	518	O=C-c:s
lin74	519	C=C-N
lin74	520	*=*-*-*:*:*-*:*
lin74	521	C-c:c=O
lin74	522	c:o:c:n
lin74	523	C-C=C-C
lin74	524	*=*-*-*=*-*:*
lin74	525	*=*-*-*=*-*:*:*
lin74	526	c-n:c:n
lin74	527	*=*-*:*:*-*-*-*
lin74	528	N-O
lin74	529	*-*-*=*-*-*:*:*
lin74	530	*-*-*=*-*-*:*
lin74	531	C-S-C
lin74	532	n:c:o:n
lin74	533	*=*-*-*:*=*
lin74	534	C-c:c-S
lin74	535	c-n:n:c
lin74	536	*-*=*-*:*:*:*-*
lin74	537	C-C-c:s
lin74	538	S-C-c
lin74	539	C-S=O
lin74	540	N=C-c
lin74	541	N=C-c:c
lin74	542	*-*-*=*-*-*-*-*
lin74	543	C-c:o:n
lin74	544	F-C-c
lin74	545	n:c:n:o
lin74	546	*-*=*-*-*-*=*
lin74	547	c-c:n:o
lin74	548	*=*-*-*:*:*-*=*
lin74	549	*=*:*-*-*
lin74	550	*=*:*-*:*:*:*
lin74	551	*=*:*-*:*:*
lin74	552	*=*:*-*:*
lin74	553	*=*:*-*:*:*:*:*
lin74	554	c:n:c:n:o:
lin74	555	*=*-*:*:*:*-*-*
lin74	556	C-C-C=C
lin74	557	c:c:n:o
lin74	558	C-C-S-C
lin74	559	*=*:*-*-*:*:*:*
lin74	560	*=*:*-*-*:*:*
lin74	561	*=*:*-*-*:*
lin74	562	F-C-c:c
lin74	563	*-*:*:*-*:*-*
lin74	564	*-*-*-*-*-*-*=
lin74	565	c-N-c
lin74	566	C-C=C-N
lin74	567	*=*-*-*:*-*=*
lin74	568	c:c:n:c:c:n:
lin74	569	O=c:n:n
lin74	570	*-*-*-*=*-*=*
lin74	571	O=c:c:n
lin74	572	c-N-c:c
lin74	573	N=O
lin74	574	*-*-*=*-*-*=*
lin74	575	O-N=O
lin74	576	*:*:*:*-*-*-*-*
lin74	577	*=*-*:*:*-*=*
lin74	578	*=*:*:*-*
lin74	579	O-N-c
lin74	580	*:*:*-*-*-*-*
lin74	581	N-N
lin74	582	*-*-*:*-*:*:*-*
lin74	583	c:n:n:n
lin74	584	n:n:n
lin74	585	S-C-c:c
lin74	586	O-N-c:c
lin74	587	O=N-c
lin74	588	O=N-c:c
lin74	589	*:*-*:*:*-*:*
lin74	590	*=*:*:*:*-*
lin74	591	*:*-*:*:*-*:*:*
lin74	592	*:*-*-*-*-*
lin74	593	*=*-*:*-*-*-*
lin74	594	c-c:s
lin74	595	c:c:o:n
lin74	596	c-c:s:c
lin74	597	c:c:c:n:o:
lin74	598	*=*-*-*-*=*-*
lin74	599	C-c:c:o
lin74	600	C#N
lin74	601	*=*-*-*-*:*-*
lin74	602	*=*-*:*-*-*-*:*
lin74	603	*-*-*:*:*-*:*-*
lin74	604	C-n:c-S
lin74	605	*-*-*-*=*-*-*:*
lin74	606	*-*:*-*-*-*:*-*
lin74	607	*=*:*-*-*-*-*
lin74	608	*:*:*-*-*-*-*-*
lin74	609	*=*:*:*:*:*=*
lin74	610	*=*-*:*:*-*-*
lin74	611	*=*:*:*:*:*:
lin74	612	O-C-c:n
lin74	613	*:*-*-*-*-*-*
lin74	614	C-N-N
lin74	615	C=C-C-c
lin74	616	O-C-O
lin74	617	*=*-*:*:*:*-*=*
lin74	618	*=*:*:*:*:*-*:*
lin74	619	*=*:*-*-*-*-*:*
lin74	620	*:*-*:*:*:*-*:*
lin74	621	*-*:*-*:*-*
lin74	622	*-*=*-*:*:*-*
lin74	623	n:c:c:o
lin74	624	*-*=*-*:*-*
lin74	625	O=C-c:o
lin74	626	C-C-N-C-c:c-
lin74	627	c-N-c:n
lin74	628	C-c:n:o
lin74	629	*-*-*=*-*-*-*:*
lin74	630	*=*-*-*-*=*-*:*
lin74	631	C-C-C-S
lin74	632	*-*=*-*-*-*-*:*
lin74	633	n:n:c:s
lin74	634	c:c-c:s
lin74	635	*=*-*-*:*-*-*
lin74	636	*-*-*=*-*-*-*=*
lin74	637	N-C=N
lin74	638	c-C-O-c
lin74	639	C-c:c-F
lin74	640	O=c:n-c
lin74	641	O-C-O-c
lin74	642	*=*:*:*=*
lin74	643	*-*-*-*-
lin74	644	*-*=*-*-*-*-*=*
lin74	645	c:c:c:c:n:n:
lin74	646	*=*:*:*:*-*:*:*
lin74	647	*=*:*:*:*-*:*
lin74	648	O-C-C-O
lin74	649	S-c:c:n
lin74	650	O-c:n
lin74	651	*-*-*:*-*-
lin74	652	*=*-*-*-*-*:*-
lin74	653	*-*-*=*-*:*:*-*
lin74	654	C-c:n-c
lin74	655	C-C=N
lin74	656	*-*-*-*-*=*-*=*
lin74	657	C-O-c:c-O-
lin74	658	C=N-N
lin74	659	*-*-*-*=*-*-*=*
lin74	660	N-N-C=O
lin74	661	c:c:n:c:o:
lin74	662	*-*-*=*-*:*-*
